"variant","device_type","traffic_source","users","conversions","conversion_rate","avg_revenue"
"B","tablet","organic",194,30,0.154639175257732,8.16731958762887
"B","tablet","direct",52,8,0.153846153846154,8.02634615384615
"B","tablet","paid",161,23,0.142857142857143,7.17403726708075
"B","mobile","paid",860,121,0.140697674418605,7.9738488372093
"B","desktop","paid",414,58,0.140096618357488,7.46903381642512
"B","desktop","social",326,40,0.122699386503067,6.20003067484663
"B","desktop","organic",604,71,0.117549668874172,5.81301324503311
"B","mobile","organic",1233,144,0.116788321167883,6.17051094890511
"B","desktop","direct",134,15,0.111940298507463,5.46753731343284
"A","desktop","paid",424,47,0.110849056603774,5.55632075471698
"B","tablet","social",93,10,0.10752688172043,5.71354838709677
"A","desktop","organic",637,68,0.106750392464678,5.10241758241758
"A","mobile","social",606,64,0.105610561056106,4.76759075907591
"A","mobile","paid",919,90,0.0979325353645267,4.92600652883569
"A","desktop","direct",174,17,0.0977011494252874,4.91936781609195
"B","mobile","direct",292,28,0.0958904109589041,4.25691780821918
"B","mobile","social",621,59,0.0950080515297907,4.63766505636071
"A","tablet","direct",55,5,0.0909090909090909,3.484
"A","desktop","social",297,26,0.0875420875420875,4.06225589225589
"A","mobile","direct",286,25,0.0874125874125874,4.8043006993007
"A","tablet","organic",185,16,0.0864864864864865,4.30816216216216
"A","tablet","paid",154,12,0.0779220779220779,4.1937012987013
"A","mobile","organic",1184,78,0.0658783783783784,3.00513513513514
"A","tablet","social",95,2,0.0210526315789474,1.06178947368421
